date,commits,authors,authors_json
2020-04,9,8,"{""James Bunch"":1,""Antonio Terceiro"":1,""Agora Security"":1,""Alex Mayer"":1,""TIT"":1,""Jonas Müller"":1,""Michael Camilleri"":1,""James Couball"":2}"
2020-05,0,0,{}
2020-06,0,0,{}
2020-07,0,0,{}
2020-08,1,1,"{""Andy Maleh"":1}"
2020-09,2,2,"{""Pavel Kuznetsov"":1,""Ofir Petrushka"":1}"
2020-10,1,1,"{""Andy Maleh"":1}"
2020-11,3,3,"{""Romain Tartière"":1,""James Couball"":1,""Borislav Stanimirov"":1}"
2020-12,15,8,"{""James Couball"":8,""Alex Mayer"":1,""Nicholas Calugar"":1,""Vern Burton"":1,""Gabriel Gilder"":1,""Hidetaka Okita"":1,""Peter Kovacs"":1,""Michal Papis"":1}"
2021-01,3,1,"{""James Couball"":3}"
2021-02,0,0,{}
2021-03,1,1,"{""yancyribbens"":1}"
