step_count,duration_seconds,filename,timestamp,model,quality,seed,prompt
3,33,20250302_130543_3steps_dreamy_landscape.png,2025-03-02 13:06:16,dev,4,1,"dreamy landscape"
6,62,20250302_130616_6steps_dreamy_landscape.png,2025-03-02 13:07:18,dev,4,1,"dreamy landscape"
