step_count,duration_seconds,filename,timestamp,model,quality,prompt
1,19,20250302_114659_1steps_castle.png,2025-03-02 11:47:18,schnell,4,"castle"
3,33,20250302_114718_3steps_castle.png,2025-03-02 11:47:51,schnell,4,"castle"
