step_count,duration_seconds,filename,timestamp,model,quality,prompt
1,26,20250302_120200_1steps_dreamy_landscape.png,2025-03-02 12:02:26,schnell,4,"dreamy landscape"
2,28,20250302_120226_2steps_dreamy_landscape.png,2025-03-02 12:02:54,schnell,4,"dreamy landscape"
3,32,20250302_120254_3steps_dreamy_landscape.png,2025-03-02 12:03:26,schnell,4,"dreamy landscape"
4,42,20250302_120326_4steps_dreamy_landscape.png,2025-03-02 12:04:08,schnell,4,"dreamy landscape"
5,52,20250302_120408_5steps_dreamy_landscape.png,2025-03-02 12:05:00,schnell,4,"dreamy landscape"
6,83,20250302_120500_6steps_dreamy_landscape.png,2025-03-02 12:06:23,schnell,4,"dreamy landscape"
